Crash Number,Date Time,Day Of Week,Object 1,Object 2,Street Number,Steet Name,Cross Street,Location,Latitude,Longitude,Coordinates
28673,01/31/2013 06:53:00 AM,Thursday,Auto,Pedestrian,266,Massachusetts Ave,,"266 Massachusetts Ave Cambridge, MA",42.361697,-71.098077,
30075,12/16/2013 09:13:00 PM,Monday,Auto,Pedestrian,,Massachusetts Ave,DOUGLASS ST," Massachusetts Ave & DOUGLASS ST Cambridge, MA",42.363897,-71.10119,
30650,04/07/2012 07:15:00 PM,Saturday,Taxi,Pedestrian,,Brookline St,Franklin St," Brookline St & Franklin St Cambridge, MA",42.362868,-71.102435,
26080,06/11/2011 02:38:00 PM,Saturday,Auto,Pedestrian,,Concord Ave,Buckingham St," Concord Ave & Buckingham St Cambridge, MA",42.38111,-71.128817,
29789,10/18/2013 03:02:00 PM,Friday,Auto,Pedestrian,,Columbia St,Bishop Allen Dr," Columbia St & Bishop Allen Dr Cambridge, MA",42.364154,-71.099474,
29318,06/23/2013 06:45:00 PM,Sunday,Auto,Pedestrian,11,Walden Square Rd,,"11 Walden Square Rd Cambridge, MA",42.389383,-71.131073,
25827,04/08/2011 09:20:00 AM,Friday,Auto,Pedestrian,,MOUNT AUBURN ST,Gibson St," MOUNT AUBURN ST & Gibson St Cambridge, MA",42.374824,-71.13259,
26592,10/07/2011 09:40:00 AM,Friday,Bicycle,Pedestrian,583,MOUNT AUBURN ST,,"583 MOUNT AUBURN ST Cambridge, MA",42.375426,-71.145214,
31933,03/14/2014 10:30:00 PM,Friday,Auto,Pedestrian,,Massachusetts Ave,DUDLEY ST,"Massachusetts Ave & DUDLEY ST Cambridge, MA",42.396637,-71.1293869,
31904,03/03/2014 01:23:00 AM,Monday,Auto,Pedestrian,,Massachusetts Ave,Brookline St,"Massachusetts Ave & Brookline St Cambridge, MA",42.3640137,-71.101387,
30554,03/27/2012 06:10:00 PM,Tuesday,Auto,Pedestrian,,MAIN ST,Broadway," MAIN ST & Broadway Cambridge, MA",42.362071,-71.082667,
29436,07/26/2013 04:32:00 PM,Friday,Auto,Pedestrian,,DUNSTER ST,MOUNT AUBURN ST," DUNSTER ST & MOUNT AUBURN ST Cambridge, MA",42.372252,-71.119339,
31413,10/10/2012 11:48:00 AM,Wednesday,Auto,Pedestrian,425,Massachusetts Ave,,"425 Massachusetts Ave Cambridge, MA",42.363664,-71.100482,
32363,06/28/2014 10:33:00 AM,Saturday,Auto,Pedestrian,,Portland St,Washington St,"Portland St & Washington St Cambridge, MA",42.363884,-71.0931549,
28804,02/26/2013 01:19:00 PM,Tuesday,Taxi,Pedestrian,,Massachusetts Ave,Inman St," Massachusetts Ave & Inman St Cambridge, MA",42.36659,-71.10568,
30112,12/27/2013 03:20:00 PM,Friday,Auto,Pedestrian,,MOUNT AUBURN ST,LOWELL ST," MOUNT AUBURN ST & LOWELL ST Cambridge, MA",42.374852,-71.133045,
33164,12/10/2014 08:54:00 PM,Wednesday,Auto,Pedestrian,,Aberdeen Ct,MOUNT AUBURN ST,"Aberdeen Ct & MOUNT AUBURN ST Cambridge, MA",42.3752632,-71.1458282,
24722,09/04/2010 01:31:00 PM,Saturday,Pedestrian,Bicycle,581,Massachusetts Ave,,"581 Massachusetts Ave Cambridge, MA",42.365007,-71.102735,
25694,03/06/2011 01:12:00 AM,Sunday,Auto,Pedestrian,,Broadway,Norfolk St," Broadway & Norfolk St Cambridge, MA",42.36852,-71.099001,
32583,08/23/2014 05:42:00 PM,Saturday,Auto,Pedestrian,,Massachusetts Ave,DAVENPORT ST,"Massachusetts Ave & DAVENPORT ST Cambridge, MA",42.3894196,-71.1200333,
25100,11/22/2010 12:59:00 PM,Monday,Auto,Pedestrian,178,Alewife Brook Pky,,"178 Alewife Brook Pky Cambridge, MA",42.392001,-71.141029,
31112,08/07/2012 02:19:00 PM,Tuesday,Auto,Pedestrian,,MOUNT AUBURN ST,Brattle St," MOUNT AUBURN ST & Brattle St Cambridge, MA",42.375282,-71.145695,
29974,11/23/2013 09:52:00 AM,Saturday,Auto,Pedestrian,77,OXFORD AVE,,"77 OXFORD AVE Cambridge, MA",42.378389,-71.155276,
31300,09/18/2012 01:50:00 PM,Tuesday,Auto,Pedestrian,659,Cambridge St,,"659 Cambridge St Cambridge, MA",42.372969,-71.094525,
31277,09/13/2012 08:19:00 AM,Thursday,Auto,Pedestrian,,Concord Ave,GRISWOLD ST," Concord Ave & GRISWOLD ST Cambridge, MA",42.390977,-71.157285,
29525,08/17/2013 10:09:00 AM,Saturday,Auto,Pedestrian,625,Massachusetts Ave,,"625 Massachusetts Ave Cambridge, MA",42.365455,-71.103484,
29975,11/24/2013 02:15:00 PM,Sunday,Auto,Pedestrian,,PLEASANT ST,Western Ave," PLEASANT ST & Western Ave Cambridge, MA",42.365079,-71.10695,
31438,10/17/2012 09:56:00 AM,Wednesday,School Bus,Pedestrian,,Cambridge St,Columbia St," Cambridge St & Columbia St Cambridge, MA",42.372912,-71.094512,
25321,01/12/2011 01:25:00 PM,Wednesday,Auto,Pedestrian,,PRESCOTT ST,Cambridge St," PRESCOTT ST & Cambridge St Cambridge, MA",42.375355,-71.113415,
26927,12/14/2011 12:00:00 PM,Wednesday,Auto,Pedestrian,4,EXETER PARK,,"4 EXETER PARK Cambridge, MA",42.3847,-71.118585,
29674,09/25/2013 05:38:00 PM,Wednesday,Auto,Pedestrian,1667,MASSACHUSETTS  AVE BRDG,,"1667 MASSACHUSETTS  AVE BRDG Cambridge, MA",42.369202,-71.110689,
25049,11/08/2010 08:00:00 AM,Monday,Auto,Pedestrian,,Bishop Allen Dr,Norfolk St," Bishop Allen Dr & Norfolk St Cambridge, MA",42.365231,-71.101285,
31861,02/24/2014 09:45:00 PM,Monday,Auto,Pedestrian,101,DUNSTER ST,,"101 DUNSTER ST Cambridge, MA",42.3704453,-71.1205139,
26902,12/07/2011 05:19:00 PM,Wednesday,Auto,Pedestrian,,Franklin St,Blanche St," Franklin St & Blanche St Cambridge, MA",42.361555,-71.100224,
26511,09/19/2011 08:36:00 AM,Monday,Auto,Pedestrian,45,Yerxa Rd,,"45 Yerxa Rd Cambridge, MA",42.39169,-71.129329,
28688,02/03/2013 05:29:00 PM,Sunday,Auto,Pedestrian,,OXFORD AVE,Wendell St," OXFORD AVE & Wendell St Cambridge, MA",42.381554,-71.116331,
26832,11/19/2011 11:29:00 AM,Saturday,Auto,Pedestrian,,Cambridge St,Columbia St," Cambridge St & Columbia St Cambridge, MA",42.372912,-71.094512,
29682,09/26/2013 09:45:00 AM,Thursday,Auto,Pedestrian,,Brookline St,Franklin St," Brookline St & Franklin St Cambridge, MA",42.362868,-71.102435,
30085,12/19/2013 01:34:00 PM,Thursday,Auto,Pedestrian,35,OXFORD ST,,"35 OXFORD ST Cambridge, MA",42.379147,-71.116794,
30762,05/16/2012 10:50:00 PM,Wednesday,Auto,Pedestrian,,PROSPECT ST,Hampshire St," PROSPECT ST & Hampshire St Cambridge, MA",42.372202,-71.098975,
24725,09/06/2010 01:44:00 PM,Monday,Auto,Pedestrian,20,University Rd,,"20 University Rd Cambridge, MA",42.372339,-71.123731,
25585,02/15/2011 06:30:00 PM,Tuesday,Auto,Pedestrian,,Bishop Allen Dr,Inman St," Bishop Allen Dr & Inman St Cambridge, MA",42.367335,-71.104827,
31161,08/15/2012 09:00:00 AM,Wednesday,Auto,Pedestrian,300,Binney St,,"300 Binney St Cambridge, MA",42.366139,-71.087551,
25304,01/07/2011 06:59:00 PM,Friday,Auto,Pedestrian,,Cambridge St,FIRST ST," Cambridge St & FIRST ST Cambridge, MA",42.370636,-71.076934,
25623,01/02/2011 09:04:00 PM,Saturday,Auto,Pedestrian,,Massachusetts Ave,Norfolk St," Massachusetts Ave & Norfolk St Cambridge, MA",42.364424,-71.102083,
33056,11/20/2014 12:20:00 AM,Thursday,Auto,Pedestrian,,Brattle St,MOUNT AUBURN ST,"Brattle St & MOUNT AUBURN ST Cambridge, MA",42.3752823,-71.1456985,
25554,02/10/2011 08:49:00 AM,Thursday,Auto,Pedestrian,2440,Massachusetts Ave,,"2440 Massachusetts Ave Cambridge, MA",42.397947,-71.131418,
